year,site,tsq,chs_max_ln,chs_mean_ln,chs_sd_ln,chs_cv_ln,chs_gini_ln,openness_ln,enl0_ln,enl1_ln,enl2_ln,boxdim_ln,slope,aspect,chs_max_tsq,chs_mean_tsq,chs_sd_tsq,chs_cv_tsq,chs_gini_tsq,openness_tsq,enl0_tsq,enl1_tsq,enl2_tsq,boxdim_tsq
2023,A,O26_0406,9.9,7.4,1,0.1,0.1,0,10,7.725,7.074,2.0502,29.3,NA,9.2,7.2,1,0.1,0.1,0,9,7.008,6.385,1.847
2023,A,O26_1214,8,6,1.2,0.2,0.1,0,8,6.354,5.626,2.1114,31.8,NA,7.4,6.4,0.8,0.1,0.1,0,7,6.294,5.762,1.8595
2023,A,O25_1006,6.2,5.3,0.4,0.1,0,0,6,4.927,4.559,2.3865,31.5,NA,6.1,5.5,0.3,0.1,0,0,6,5.35,5.085,2.1388
2023,A,L21_1601,14.8,12.2,1.5,0.1,0.1,0,15,11.601,9.984,1.9648,36.5,NA,13.6,11.7,0.9,0.1,0,0,14,10.82,9.57,1.7613
2023,A,L21_0600,9.1,7.2,1.1,0.1,0.1,0,9,7.64,7.134,2.097,17.3,NA,9,7.7,1.1,0.1,0.1,0,9,7.31,6.238,1.8319
2023,A,L21_0816,8.2,6.9,0.4,0.1,0,0,8,6.282,5.633,1.9757,14.1,NA,8.1,6.7,0.4,0.1,0,0,8,6.187,5.565,1.8405
2023,A,M22_0201,14.3,11.4,1.6,0.1,0.1,0,14,9.585,7.158,1.7764,41.7,NA,13.4,11.3,1.8,0.2,0.1,0,13,7.945,5.943,1.5741
2023,A,M22_0213,12.7,9,2.1,0.2,0.1,0,13,9.273,8.409,2.15,45.1,NA,12,9.1,1.3,0.1,0.1,0,12,8.826,8.137,1.9691
2023,A,M22_1313,16.2,14.6,0.9,0.1,0,0,16,11.314,8.914,1.7355,20.3,NA,16.1,14.8,0.6,0,0,0,10,6.402,5.068,1.5099
2023,A,Q20_0317,11.4,9.4,1.1,0.1,0.1,0,11,9.752,8.944,2.0132,25.7,NA,11.3,9.3,0.8,0.1,0,0,11,9.574,8.983,1.7352
